iter	Passed	Remaining
470	705	792
471	706	790
472	707	788
473	715	793
474	739	817
475	745	820
476	747	819
477	748	817
478	751	817
479	754	817
480	756	816
481	760	817
482	762	815
483	763	814
484	765	812
485	767	812
486	769	810
487	770	808
488	773	808
489	775	807
490	777	806
491	779	804
492	780	803
493	782	801
494	784	800
495	785	798
496	786	796
497	788	795
498	790	793
499	791	791
500	793	789
501	794	788
502	796	786
503	797	785
504	799	783
505	800	781
506	801	778
507	802	776
508	803	774
509	804	772
510	804	770
511	805	768
512	806	765
513	807	763
514	808	761
515	810	759
516	811	758
517	813	756
518	814	754
519	814	752
520	815	750
521	816	748
522	817	745
523	818	743
524	819	741
525	820	739
526	821	737
527	822	734
528	822	732
529	824	731
530	825	729
531	827	728
532	829	726
533	830	724
534	831	722
535	832	720
536	833	718
537	833	716
538	834	713
539	835	711
540	836	709
541	837	707
542	838	705
543	840	704
544	842	703
545	843	701
546	844	699
547	845	697
548	846	695
549	847	693
550	848	691
551	849	689
552	850	687
553	850	685
554	851	683
555	852	681
556	854	679
557	857	679
558	859	678
559	861	676
560	862	674
561	863	672
562	864	670
563	865	669
564	866	666
565	867	664
566	868	663
567	869	661
568	871	660
569	873	658
570	874	656
571	875	654
572	875	652
573	876	650
574	877	648
575	878	646
576	879	644
577	879	642
578	880	640
579	881	638
580	881	635
581	882	633
582	883	632
583	885	630
584	886	628
585	887	627
586	888	625
587	889	623
588	890	621
589	891	619
590	892	617
591	893	615
592	893	613
593	894	611
594	895	609
595	895	607
596	896	605
597	899	604
598	901	603
599	902	601
600	903	599
601	906	599
602	907	597
603	908	595
604	909	594
605	910	592
606	911	590
607	912	588
608	914	587
609	916	585
610	918	584
611	919	582
612	920	581
613	921	579
614	922	577
615	923	575
616	923	573
617	924	571
618	925	569
619	926	567
620	926	565
621	927	563
622	928	561
623	929	560
624	931	559
625	932	557
626	933	555
627	934	553
628	935	551
629	936	549
630	937	548
631	937	546
632	938	544
633	939	542
634	940	540
635	941	538
636	941	536
637	942	534
638	944	533
639	945	532
640	946	530
641	948	528
642	949	527
643	950	525
644	950	523
645	951	521
646	952	519
647	954	518
648	955	516
649	956	514
650	956	512
651	958	511
652	960	510
653	961	508
654	963	507
655	963	505
656	964	503
657	966	502
658	966	500
659	968	498
660	969	497
661	970	495
662	971	493
663	972	492
664	974	490
665	975	489
666	977	487
667	978	486
668	978	484
669	979	482
670	980	480
671	981	479
672	982	477
673	983	475
674	983	473
675	984	471
676	985	470
677	986	468
678	987	467
679	989	465
680	991	464
681	992	462
682	992	460
683	993	459
684	994	457
685	995	455
686	996	453
687	996	452
688	997	450
689	998	448
690	999	446
691	999	445
692	1000	443
693	1001	441
694	1002	440
695	1004	438
696	1005	437
697	1006	435
698	1007	433
699	1008	432
700	1009	430
701	1010	428
702	1010	427
703	1011	425
704	1012	423
705	1012	421
706	1013	420
707	1014	418
708	1015	416
709	1015	414
710	1017	413
711	1018	412
712	1020	410
713	1021	409
714	1022	407
715	1023	405
716	1024	404
717	1025	402
718	1026	401
719	1027	399
720	1029	398
721	1029	396
722	1030	394
723	1031	393
724	1033	391
725	1034	390
726	1036	389
727	1037	387
728	1038	385
729	1039	384
730	1039	382
731	1040	381
732	1041	379
733	1042	377
734	1043	376
735	1044	374
736	1044	372
737	1045	371
738	1047	369
739	1048	368
740	1049	366
741	1050	365
742	1051	363
743	1052	362
744	1053	360
745	1054	359
746	1055	357
747	1055	355
748	1056	354
749	1057	352
750	1058	350
751	1058	349
752	1059	347
753	1060	345
754	1061	344
755	1062	342
756	1063	341
757	1064	339
758	1065	338
759	1066	336
760	1067	335
761	1068	333
762	1069	332
763	1069	330
764	1070	328
765	1071	327
766	1071	325
767	1072	323
768	1073	322
769	1073	320
770	1074	319
771	1075	317
772	1076	316
773	1077	314
774	1079	313
775	1080	312
776	1081	310
777	1082	308
778	1083	307
779	1084	305
780	1085	304
781	1085	302
782	1086	301
783	1087	299
784	1087	297
785	1088	296
786	1089	294
787	1090	293
788	1090	291
789	1091	290
790	1093	288
791	1094	287
792	1095	286
793	1096	284
794	1097	283
795	1098	281
796	1099	280
797	1100	278
798	1100	276
799	1101	275
800	1102	273
801	1103	272
802	1103	270
803	1104	269
804	1105	267
805	1106	266
806	1107	264
807	1109	263
808	1110	262
809	1111	260
810	1112	259
811	1112	257
812	1113	256
813	1114	254
814	1114	253
815	1115	251
816	1116	250
817	1116	248
818	1117	247
819	1118	245
820	1119	244
821	1119	242
822	1120	241
823	1121	239
824	1122	238
825	1124	236
826	1125	235
827	1126	233
828	1127	232
829	1128	231
830	1129	229
831	1129	228
832	1130	226
833	1131	225
834	1132	223
835	1132	222
836	1133	220
837	1134	219
838	1134	217
839	1135	216
840	1137	215
841	1138	213
842	1140	212
843	1140	210
844	1141	209
845	1142	208
846	1143	206
847	1144	205
848	1144	203
849	1145	202
850	1146	200
851	1147	199
852	1147	197
853	1148	196
854	1149	194
855	1149	193
856	1150	192
857	1152	190
858	1153	189
859	1154	187
860	1155	186
861	1156	185
862	1157	183
863	1157	182
864	1158	180
865	1159	179
866	1160	177
867	1160	176
868	1161	175
869	1162	173
870	1163	172
871	1163	170
872	1164	169
873	1165	168
874	1167	166
875	1168	165
876	1169	164
877	1170	162
878	1171	161
879	1172	159
880	1172	158
881	1173	157
882	1174	155
883	1175	154
884	1175	152
885	1176	151
886	1177	149
887	1177	148
888	1178	147
889	1179	145
890	1180	144
891	1181	143
892	1183	141
893	1184	140
894	1185	139
895	1186	137
896	1187	136
897	1187	134
898	1188	133
899	1189	132
900	1189	130
901	1190	129
902	1191	127
903	1191	126
904	1192	125
905	1193	123
906	1194	122
907	1194	121
908	1209	121
909	1210	119
910	1213	118
911	1215	117
912	1217	116
913	1218	114
914	1220	113
915	1222	112
916	1223	110
917	1224	109
918	1226	108
919	1228	106
920	1230	105
921	1232	104
922	1234	102
923	1235	101
924	1237	100
925	1238	99
926	1240	97
927	1242	96
928	1245	95
929	1246	93
930	1248	92
931	1249	91
932	1250	89
933	1251	88
934	1253	87
935	1254	85
936	1255	84
937	1256	83
938	1258	81
939	1261	80
940	1262	79
941	1263	77
942	1264	76
943	1265	75
944	1267	73
945	1267	72
946	1268	71
947	1269	69
948	1270	68
949	1272	66
950	1273	65
951	1275	64
952	1276	62
953	1277	61
954	1278	60
955	1279	58
956	1280	57
957	1281	56
958	1282	54
959	1283	53
960	1284	52
961	1285	50
962	1286	49
963	1288	48
964	1289	46
965	1290	45
966	1291	44
967	1292	42
968	1293	41
969	1294	40
970	1295	38
971	1296	37
972	1297	36
973	1298	34
974	1299	33
975	1301	31
976	1302	30
977	1304	29
978	1305	28
979	1306	26
980	1307	25
981	1308	23
982	1309	22
983	1310	21
984	1311	19
985	1312	18
986	1313	17
987	1314	15
988	1316	14
989	1317	13
990	1319	11
991	1320	10
992	1322	9
993	1322	7
994	1323	6
995	1324	5
996	1325	3
997	1326	2
998	1327	1
999	1328	0
